fecha,pais,ciudad,latitud,longitud,tipo_alojamiento,duracion_estancia,gasto_diario,valoracion,transporte,motivo_viaje
2023-09-09,Alemania,Múnich,48.1351,11.582,Hotel,13,88.57,5,Autobús,Vacaciones
2023-07-09,Italia,Venecia,45.4408,12.3155,Hostal,11,128.97,5,Autobús,Estudios
2023-10-23,Francia,Burdeos,44.8378,-0.5792,Apartamento,8,74.46,2,Coche,Vacaciones
2023-08-01,Francia,Marsella,43.2965,5.3698,Hotel,10,74.19,3,Autobús,Negocios
2023-07-27,España,Valencia,39.4699,-0.3763,Apartamento,8,95.45,5,Avión,Vacaciones
2023-08-25,España,Málaga,36.7213,-4.4214,Apartamento,1,139.46,4,Autobús,Vacaciones
2023-12-04,España,Madrid,40.4168,-3.7038,Casa rural,9,127.56,2,Tren,Negocios
2023-02-22,Francia,París,48.8566,2.3522,Hotel,6,139.48,5,Autobús,Estudios
2023-10-07,Italia,Nápoles,40.8518,14.2681,Hostal,1,70.19,4,Avión,Vacaciones
2023-08-05,Francia,Marsella,43.2965,5.3698,Hostal,1,80.21,1,Coche,Visita familiar
2023-09-09,Francia,Marsella,43.2965,5.3698,Hotel,13,94.65,4,Autobús,Vacaciones
2023-07-07,Francia,París,48.8566,2.3522,Casa rural,7,90.8,2,Avión,Visita familiar
2023-02-10,Francia,París,48.8566,2.3522,Apartamento,10,76.7,5,Autobús,Vacaciones
2023-06-06,Italia,Florencia,43.7696,11.2558,Apartamento,2,114.42,3,Coche,Vacaciones
2023-01-15,España,Málaga,36.7213,-4.4214,Hotel,6,51.11,3,Autobús,Vacaciones
2023-10-28,Reino Unido,Edimburgo,55.9533,-3.1883,Hotel,13,104.49,4,Avión,Visita familiar
2023-03-06,España,Valencia,39.4699,-0.3763,Apartamento,5,149.86,4,Coche,Vacaciones
2023-12-11,España,Sevilla,37.3891,-5.9845,Hotel,5,102.36,4,Coche,Estudios
2023-11-23,Reino Unido,Londres,51.5074,-0.1278,Apartamento,10,75.03,5,Coche,Vacaciones
2023-01-09,Francia,Burdeos,44.8378,-0.5792,Hotel,12,61.59,3,Coche,Vacaciones
2023-12-10,Italia,Milán,45.4642,9.19,Apartamento,6,110.82,3,Tren,Vacaciones
2023-05-09,Italia,Nápoles,40.8518,14.2681,Apartamento,14,152.09,2,Tren,Vacaciones
2023-05-16,España,Barcelona,41.3851,2.1734,Hotel,11,106.4,2,Autobús,Vacaciones
2023-03-04,Reino Unido,Liverpool,53.4084,-2.9916,Apartamento,8,89.94,1,Autobús,Vacaciones
2023-05-19,Alemania,Múnich,48.1351,11.582,Apartamento,5,77.11,5,Coche,Vacaciones
2023-03-22,Francia,Lyon,45.764,4.8357,Hotel,8,55.68,4,Avión,Vacaciones
2023-06-12,España,Valencia,39.4699,-0.3763,Hotel,5,108.17,2,Avión,Vacaciones
2023-10-16,Italia,Nápoles,40.8518,14.2681,Hotel,10,51.95,1,Tren,Estudios
2023-09-18,Reino Unido,Liverpool,53.4084,-2.9916,Hotel,6,127.46,1,Avión,Negocios
2023-08-19,Reino Unido,Londres,51.5074,-0.1278,Casa rural,8,118.81,3,Coche,Negocios
2023-02-10,España,Madrid,40.4168,-3.7038,Apartamento,2,93.52,5,Autobús,Vacaciones
2023-01-28,Alemania,Múnich,48.1351,11.582,Hotel,7,119.43,5,Autobús,Visita familiar
2023-05-15,Italia,Florencia,43.7696,11.2558,Hotel,3,105.18,4,Coche,Vacaciones
2023-07-20,España,Valencia,39.4699,-0.3763,Hotel,9,119.17,5,Avión,Vacaciones
2023-11-24,Alemania,Frankfurt,50.1109,8.6821,Apartamento,10,126.84,4,Tren,Vacaciones
2023-09-25,Reino Unido,Birmingham,52.4862,-1.8904,Hotel,7,92.35,5,Tren,Vacaciones
2023-02-02,Francia,Marsella,43.2965,5.3698,Apartamento,3,61.11,3,Autobús,Vacaciones
2023-02-17,Italia,Venecia,45.4408,12.3155,Hotel,8,167.74,1,Avión,Negocios
2023-03-03,Italia,Venecia,45.4408,12.3155,Hostal,10,93.6,5,Tren,Visita familiar
2023-08-04,Alemania,Colonia,50.9375,6.9603,Hotel,2,87.16,5,Avión,Visita familiar
2023-10-20,España,Valencia,39.4699,-0.3763,Apartamento,10,113.32,3,Avión,Vacaciones
2023-04-09,Reino Unido,Edimburgo,55.9533,-3.1883,Hostal,12,94.2,2,Tren,Vacaciones
2023-06-21,Alemania,Frankfurt,50.1109,8.6821,Apartamento,8,62.26,4,Autobús,Vacaciones
2023-12-26,Francia,Lyon,45.764,4.8357,Hostal,7,64.24,2,Avión,Visita familiar
2023-08-02,Francia,Marsella,43.2965,5.3698,Apartamento,12,73.29,1,Tren,Visita familiar
2023-02-04,Francia,Lyon,45.764,4.8357,Apartamento,5,110.72,2,Coche,Vacaciones
2023-08-15,Alemania,Colonia,50.9375,6.9603,Apartamento,4,79.14,1,Coche,Vacaciones
2023-04-11,Reino Unido,Londres,51.5074,-0.1278,Albergue,11,128.07,4,Autobús,Vacaciones
2023-05-11,Italia,Nápoles,40.8518,14.2681,Apartamento,10,95.35,3,Tren,Negocios
2023-09-14,España,Málaga,36.7213,-4.4214,Casa rural,12,97.64,1,Avión,Vacaciones
2023-01-05,Italia,Nápoles,40.8518,14.2681,Hotel,14,101.8,4,Coche,Vacaciones
2023-08-06,Reino Unido,Edimburgo,55.9533,-3.1883,Apartamento,10,68.82,3,Avión,Negocios
2023-09-12,Italia,Milán,45.4642,9.19,Casa rural,1,138.26,2,Coche,Vacaciones
2023-12-25,Alemania,Hamburgo,53.5511,9.9937,Hotel,13,109.31,2,Tren,Vacaciones
2023-10-10,Francia,París,48.8566,2.3522,Albergue,4,94.81,1,Avión,Estudios
2023-07-26,Reino Unido,Birmingham,52.4862,-1.8904,Hotel,6,84.12,5,Autobús,Vacaciones
2023-01-15,Reino Unido,Liverpool,53.4084,-2.9916,Casa rural,6,83.54,5,Tren,Visita familiar
2023-12-12,Italia,Roma,41.9028,12.4964,Apartamento,2,65.28,3,Avión,Vacaciones
2023-02-11,Alemania,Múnich,48.1351,11.582,Hotel,9,60.05,2,Coche,Vacaciones
2023-06-28,Italia,Roma,41.9028,12.4964,Casa rural,13,60.06,4,Tren,Negocios
2023-03-04,Italia,Venecia,45.4408,12.3155,Hotel,13,131.89,3,Autobús,Estudios
2023-12-18,Reino Unido,Liverpool,53.4084,-2.9916,Hotel,1,77.0,1,Coche,Negocios
2023-08-19,Italia,Venecia,45.4408,12.3155,Hotel,4,67.71,1,Avión,Vacaciones
2023-08-29,Francia,Burdeos,44.8378,-0.5792,Apartamento,4,138.64,3,Avión,Vacaciones
2023-02-21,Italia,Nápoles,40.8518,14.2681,Albergue,2,101.82,4,Tren,Vacaciones
2023-04-06,Francia,París,48.8566,2.3522,Hotel,8,64.79,2,Autobús,Vacaciones
2023-08-10,Reino Unido,Birmingham,52.4862,-1.8904,Apartamento,11,117.12,2,Coche,Vacaciones
2023-08-19,Alemania,Colonia,50.9375,6.9603,Hotel,2,143.6,4,Tren,Vacaciones
2023-08-25,Francia,Lyon,45.764,4.8357,Hostal,2,120.34,2,Autobús,Estudios
2023-05-23,Alemania,Múnich,48.1351,11.582,Hotel,2,104.15,5,Coche,Visita familiar
2023-06-20,Alemania,Hamburgo,53.5511,9.9937,Hotel,1,114.04,5,Autobús,Negocios
2023-01-29,Francia,Marsella,43.2965,5.3698,Hotel,13,135.84,4,Autobús,Negocios
2023-02-05,Reino Unido,Manchester,53.4808,-2.2426,Apartamento,5,151.84,5,Coche,Negocios
2023-01-13,España,Madrid,40.4168,-3.7038,Casa rural,11,71.47,3,Avión,Vacaciones
2023-06-09,Alemania,Múnich,48.1351,11.582,Apartamento,4,100.67,2,Avión,Negocios
2023-11-23,Alemania,Hamburgo,53.5511,9.9937,Hotel,2,118.14,3,Autobús,Vacaciones
2023-07-06,Reino Unido,Liverpool,53.4084,-2.9916,Apartamento,1,105.16,4,Autobús,Negocios
2023-08-31,Reino Unido,Birmingham,52.4862,-1.8904,Hostal,1,115.89,5,Tren,Vacaciones
2023-03-27,Italia,Florencia,43.7696,11.2558,Hotel,2,166.26,3,Avión,Vacaciones
2023-10-11,Reino Unido,Liverpool,53.4084,-2.9916,Hotel,1,92.15,3,Avión,Negocios
2023-03-07,Alemania,Colonia,50.9375,6.9603,Hotel,9,57.62,1,Autobús,Vacaciones
2023-06-19,Francia,Lyon,45.764,4.8357,Hostal,2,155.5,3,Tren,Estudios
2023-02-14,España,Madrid,40.4168,-3.7038,Apartamento,3,153.03,5,Tren,Vacaciones
2023-03-03,Italia,Florencia,43.7696,11.2558,Apartamento,9,116.3,2,Tren,Vacaciones
2023-05-14,Francia,París,48.8566,2.3522,Hotel,5,85.15,2,Coche,Vacaciones
2023-10-11,España,Sevilla,37.3891,-5.9845,Hotel,14,125.73,2,Coche,Negocios
2023-01-28,España,Valencia,39.4699,-0.3763,Albergue,13,100.98,5,Coche,Negocios
2023-04-18,España,Sevilla,37.3891,-5.9845,Hotel,8,90.72,2,Tren,Estudios
2023-02-13,Francia,Lyon,45.764,4.8357,Casa rural,7,79.71,2,Avión,Vacaciones
2023-12-06,Italia,Florencia,43.7696,11.2558,Apartamento,14,99.51,4,Coche,Vacaciones
2023-10-13,Italia,Venecia,45.4408,12.3155,Hotel,6,116.41,4,Autobús,Vacaciones
2023-11-27,España,Sevilla,37.3891,-5.9845,Apartamento,13,104.93,1,Autobús,Vacaciones
2023-05-08,Francia,Lyon,45.764,4.8357,Casa rural,2,126.53,1,Autobús,Vacaciones
2023-12-14,España,Madrid,40.4168,-3.7038,Apartamento,14,93.42,3,Avión,Vacaciones
2023-08-19,Reino Unido,Londres,51.5074,-0.1278,Casa rural,13,87.44,3,Coche,Vacaciones
2023-07-09,Italia,Florencia,43.7696,11.2558,Hotel,4,111.62,3,Avión,Visita familiar
2023-08-13,Alemania,Múnich,48.1351,11.582,Apartamento,9,102.59,1,Coche,Vacaciones
2023-10-10,España,Valencia,39.4699,-0.3763,Hostal,7,144.52,2,Autobús,Vacaciones
2023-05-01,Reino Unido,Londres,51.5074,-0.1278,Casa rural,3,89.6,3,Autobús,Vacaciones
2023-04-26,Italia,Milán,45.4642,9.19,Apartamento,6,84.93,2,Avión,Negocios
2023-08-21,Francia,Burdeos,44.8378,-0.5792,Apartamento,8,94.94,2,Coche,Visita familiar
2023-09-16,Italia,Milán,45.4642,9.19,Hotel,8,87.61,1,Autobús,Vacaciones
2023-12-25,Francia,Lyon,45.764,4.8357,Hotel,8,81.09,4,Coche,Vacaciones
2023-07-17,Francia,Burdeos,44.8378,-0.5792,Hotel,13,51.04,4,Coche,Vacaciones
2023-05-17,España,Sevilla,37.3891,-5.9845,Hotel,8,65.39,5,Tren,Vacaciones
2023-11-14,España,Sevilla,37.3891,-5.9845,Hotel,10,96.39,4,Coche,Vacaciones
2023-06-14,Italia,Venecia,45.4408,12.3155,Hotel,6,60.77,3,Avión,Visita familiar
2023-08-13,Reino Unido,Londres,51.5074,-0.1278,Albergue,11,116.94,1,Autobús,Vacaciones
2023-11-03,Italia,Milán,45.4642,9.19,Apartamento,10,111.1,2,Avión,Vacaciones
2023-08-22,Alemania,Colonia,50.9375,6.9603,Apartamento,11,79.9,1,Coche,Vacaciones
2023-06-21,Francia,París,48.8566,2.3522,Albergue,3,98.41,5,Avión,Vacaciones
2023-06-01,Francia,Burdeos,44.8378,-0.5792,Hotel,9,94.25,5,Autobús,Vacaciones
2023-11-11,España,Madrid,40.4168,-3.7038,Apartamento,14,45.86,5,Coche,Vacaciones
2023-06-09,Reino Unido,Londres,51.5074,-0.1278,Apartamento,14,113.35,2,Avión,Vacaciones
2023-04-06,España,Madrid,40.4168,-3.7038,Hotel,14,82.08,5,Coche,Vacaciones
2023-08-21,Alemania,Colonia,50.9375,6.9603,Hostal,3,70.76,5,Coche,Estudios
2023-06-29,Italia,Florencia,43.7696,11.2558,Hotel,12,120.35,5,Avión,Visita familiar
2023-04-23,Italia,Roma,41.9028,12.4964,Hotel,12,107.3,2,Coche,Vacaciones
2023-11-14,Reino Unido,Edimburgo,55.9533,-3.1883,Hotel,4,127.34,5,Avión,Vacaciones
2023-02-21,España,Barcelona,41.3851,2.1734,Casa rural,10,96.46,3,Autobús,Vacaciones
2023-09-25,España,Valencia,39.4699,-0.3763,Apartamento,1,106.46,1,Coche,Visita familiar
2023-10-22,Alemania,Frankfurt,50.1109,8.6821,Apartamento,2,123.97,5,Avión,Vacaciones
2023-04-23,Italia,Nápoles,40.8518,14.2681,Apartamento,6,150.29,5,Autobús,Vacaciones
2023-04-11,España,Valencia,39.4699,-0.3763,Hotel,14,90.66,1,Tren,Vacaciones
2023-04-23,Reino Unido,Birmingham,52.4862,-1.8904,Apartamento,13,107.44,5,Coche,Vacaciones
2023-03-22,Italia,Nápoles,40.8518,14.2681,Apartamento,14,117.21,5,Autobús,Estudios
2023-07-06,Alemania,Hamburgo,53.5511,9.9937,Hotel,12,116.97,3,Coche,Visita familiar
2023-04-23,Reino Unido,Londres,51.5074,-0.1278,Apartamento,1,84.6,4,Coche,Estudios
2023-01-02,Francia,Niza,43.7102,7.262,Hotel,12,96.64,2,Tren,Vacaciones
2023-05-10,Alemania,Berlín,52.52,13.405,Hotel,9,116.91,2,Autobús,Vacaciones
2023-08-08,Reino Unido,Londres,51.5074,-0.1278,Hostal,8,105.28,1,Coche,Vacaciones
2023-02-23,España,Madrid,40.4168,-3.7038,Apartamento,2,157.44,3,Autobús,Vacaciones
2023-12-09,Francia,Burdeos,44.8378,-0.5792,Apartamento,14,90.71,2,Tren,Vacaciones
2023-08-12,Alemania,Berlín,52.52,13.405,Apartamento,2,76.01,1,Autobús,Negocios
2023-08-13,España,Valencia,39.4699,-0.3763,Hotel,8,114.54,1,Tren,Negocios
2023-05-06,Francia,Burdeos,44.8378,-0.5792,Apartamento,12,71.85,1,Autobús,Vacaciones
2023-05-10,Italia,Florencia,43.7696,11.2558,Hostal,11,86.25,2,Tren,Vacaciones
2023-02-22,España,Málaga,36.7213,-4.4214,Apartamento,8,102.42,4,Autobús,Vacaciones
2023-06-21,Reino Unido,Manchester,53.4808,-2.2426,Albergue,1,99.01,1,Avión,Vacaciones
2023-08-06,Alemania,Múnich,48.1351,11.582,Albergue,14,98.19,5,Avión,Estudios
2023-06-09,Francia,Lyon,45.764,4.8357,Apartamento,5,83.1,4,Coche,Vacaciones
2023-07-17,España,Barcelona,41.3851,2.1734,Hostal,11,111.09,4,Tren,Vacaciones
2023-09-04,Italia,Nápoles,40.8518,14.2681,Apartamento,2,165.18,5,Coche,Vacaciones
2023-11-20,Alemania,Berlín,52.52,13.405,Apartamento,1,124.88,2,Avión,Vacaciones
2023-07-22,Alemania,Hamburgo,53.5511,9.9937,Hotel,3,44.69,2,Coche,Negocios
2023-07-03,España,Sevilla,37.3891,-5.9845,Apartamento,13,87.78,3,Autobús,Vacaciones
2023-05-03,Italia,Milán,45.4642,9.19,Casa rural,3,115.96,2,Tren,Vacaciones
2023-09-12,Francia,París,48.8566,2.3522,Hostal,13,55.13,3,Tren,Vacaciones
2023-10-21,España,Valencia,39.4699,-0.3763,Hostal,10,27.35,1,Autobús,Vacaciones
2023-10-07,Francia,París,48.8566,2.3522,Hotel,9,78.25,2,Tren,Vacaciones
2023-11-21,Alemania,Frankfurt,50.1109,8.6821,Hotel,10,75.74,2,Tren,Vacaciones
2023-04-08,Francia,Marsella,43.2965,5.3698,Hotel,1,149.2,5,Coche,Vacaciones
2023-07-17,Italia,Roma,41.9028,12.4964,Hotel,11,110.66,1,Tren,Vacaciones
2023-08-28,Reino Unido,Londres,51.5074,-0.1278,Apartamento,2,95.66,3,Avión,Visita familiar
2023-05-24,Italia,Venecia,45.4408,12.3155,Hotel,9,90.52,1,Autobús,Vacaciones
2023-04-07,Francia,París,48.8566,2.3522,Apartamento,14,113.52,4,Tren,Vacaciones
2023-07-20,España,Valencia,39.4699,-0.3763,Apartamento,5,105.94,5,Avión,Negocios
2023-05-04,Alemania,Berlín,52.52,13.405,Hotel,9,113.46,4,Autobús,Vacaciones
2023-07-06,Reino Unido,Liverpool,53.4084,-2.9916,Hotel,6,109.69,3,Coche,Vacaciones
2023-11-22,España,Barcelona,41.3851,2.1734,Casa rural,10,131.17,2,Coche,Negocios
2023-12-15,España,Madrid,40.4168,-3.7038,Hotel,10,100.98,2,Coche,Vacaciones
2023-09-16,Italia,Florencia,43.7696,11.2558,Hotel,3,123.36,2,Coche,Negocios
2023-05-28,Francia,Marsella,43.2965,5.3698,Hostal,8,110.71,3,Avión,Negocios
2023-09-09,Italia,Milán,45.4642,9.19,Albergue,13,106.07,4,Avión,Vacaciones
2023-12-12,Francia,París,48.8566,2.3522,Hostal,9,88.01,3,Tren,Vacaciones
2023-05-27,Italia,Florencia,43.7696,11.2558,Hotel,2,98.04,3,Tren,Vacaciones
2023-05-28,España,Madrid,40.4168,-3.7038,Hotel,9,98.56,4,Coche,Vacaciones
2023-12-18,Alemania,Frankfurt,50.1109,8.6821,Albergue,4,132.36,2,Autobús,Visita familiar
2023-07-18,Francia,París,48.8566,2.3522,Hostal,8,107.07,5,Autobús,Vacaciones
2023-11-04,Reino Unido,Manchester,53.4808,-2.2426,Apartamento,5,72.89,3,Coche,Vacaciones
2023-05-08,Reino Unido,Manchester,53.4808,-2.2426,Hotel,13,53.6,3,Avión,Vacaciones
2023-02-08,España,Madrid,40.4168,-3.7038,Hotel,6,65.86,4,Avión,Vacaciones
2023-12-04,Italia,Roma,41.9028,12.4964,Hotel,4,79.33,5,Coche,Visita familiar
2023-12-26,Italia,Nápoles,40.8518,14.2681,Apartamento,5,113.83,3,Coche,Vacaciones
2023-05-09,España,Madrid,40.4168,-3.7038,Hotel,12,81.43,1,Avión,Vacaciones
2023-09-24,Reino Unido,Londres,51.5074,-0.1278,Albergue,1,136.79,5,Avión,Vacaciones
2023-05-31,Reino Unido,Manchester,53.4808,-2.2426,Hotel,12,63.2,3,Avión,Vacaciones
2023-10-25,Italia,Roma,41.9028,12.4964,Hostal,3,119.89,5,Coche,Vacaciones
2023-04-09,Francia,Marsella,43.2965,5.3698,Hotel,14,44.11,1,Avión,Vacaciones
2023-09-20,Alemania,Berlín,52.52,13.405,Apartamento,4,66.48,1,Autobús,Vacaciones
2023-09-09,Francia,Burdeos,44.8378,-0.5792,Hotel,1,70.2,5,Avión,Vacaciones
2023-05-24,Reino Unido,Liverpool,53.4084,-2.9916,Hostal,13,69.83,2,Tren,Negocios
2023-12-12,Francia,Lyon,45.764,4.8357,Apartamento,3,80.87,5,Avión,Vacaciones
2023-04-22,Alemania,Hamburgo,53.5511,9.9937,Hotel,4,123.6,4,Tren,Vacaciones
2023-03-01,Francia,Niza,43.7102,7.262,Hostal,14,121.53,2,Autobús,Vacaciones
2023-01-02,Francia,Marsella,43.2965,5.3698,Apartamento,14,69.79,1,Tren,Negocios
2023-10-31,Francia,Lyon,45.764,4.8357,Casa rural,9,94.11,2,Coche,Vacaciones
2023-09-11,Francia,Burdeos,44.8378,-0.5792,Casa rural,3,113.63,1,Coche,Visita familiar
2023-05-20,España,Barcelona,41.3851,2.1734,Casa rural,11,94.45,1,Coche,Vacaciones
2023-02-06,Reino Unido,Edimburgo,55.9533,-3.1883,Hotel,3,147.31,1,Autobús,Negocios
2023-06-09,Alemania,Hamburgo,53.5511,9.9937,Hotel,4,111.46,4,Coche,Vacaciones
2023-01-09,Reino Unido,Manchester,53.4808,-2.2426,Albergue,9,74.1,4,Avión,Vacaciones
2023-08-21,España,Madrid,40.4168,-3.7038,Apartamento,9,77.09,3,Autobús,Vacaciones
2023-04-09,España,Barcelona,41.3851,2.1734,Hotel,1,71.0,4,Autobús,Visita familiar
